state,scholarship_post_matric_2019_20_release_lakh,scholarship_post_matric_2019_20_utilized_lakh,scholarship_post_matric_2020_21_release_lakh,scholarship_post_matric_2020_21_utilized_lakh,scholarship_post_matric_2021_22_release_lakh,scholarship_post_matric_2021_22_utilized_lakh,scholarship_post_matric_2022_23_release_lakh,scholarship_post_matric_2022_23_utilized_lakh,scholarship_post_matric_2023_24_release_lakh,scholarship_post_matric_2023_24_utilized_lakh,scholarship_pre_matric_2019_20_release_lakh,scholarship_pre_matric_2019_20_utilized_lakh,scholarship_pre_matric_2020_21_release_lakh,scholarship_pre_matric_2020_21_utilized_lakh,scholarship_pre_matric_2021_22_release_lakh,scholarship_pre_matric_2021_22_utilized_lakh,scholarship_pre_matric_2022_23_release_lakh,scholarship_pre_matric_2022_23_utilized_lakh,scholarship_pre_matric_2023_24_release_lakh,scholarship_pre_matric_2023_24_utilized_lakh,scholarship_total_release_2019_20_lakh,scholarship_total_utilized_2019_20_lakh,scholarship_utilization_2019_20_pct,scholarship_total_release_2020_21_lakh,scholarship_total_utilized_2020_21_lakh,scholarship_utilization_2020_21_pct,scholarship_total_release_2021_22_lakh,scholarship_total_utilized_2021_22_lakh,scholarship_utilization_2021_22_pct,scholarship_total_release_2022_23_lakh,scholarship_total_utilized_2022_23_lakh,scholarship_utilization_2022_23_pct,scholarship_total_release_2023_24_lakh,scholarship_total_utilized_2023_24_lakh,scholarship_utilization_2023_24_pct,scholarship_cumulative_release_lakh,scholarship_cumulative_utilized_lakh,scholarship_cumulative_utilization_pct
Karnataka,15003.43,15003.43,0.0,0.0,17080.51,17080.51,0.0,0.0,22556.05,22556.05,1846.92,1846.92,0.0,0.0,1753.16,1753.16,2370.04,2370.04,3400.0,2550.0,16850.35,16850.35,100.0,0.0,0.0,,18833.67,18833.67,100.0,2370.04,2370.04,100.0,25956.05,25106.05,96.72523361605482,64010.11,63160.11,98.67208476910912
Kerala,1641.52,1641.52,3285.25,3285.25,2516.49,2516.49,0.0,0.0,4689.34,0.0,287.31,287.31,116.56,116.56,347.07,347.07,0.0,0.0,436.46,0.0,1928.83,1928.83,100.0,3401.81,3401.81,100.0,2863.56,2863.56,100.0,0.0,0.0,,5125.8,0.0,0.0,13320.0,8194.199999999999,61.518018018018005
Ladakh,0.0,0.0,738.0,738.0,2214.0,2214.0,1891.27,1891.27,596.25,596.25,0.0,0.0,42.27,42.27,74.22,74.22,0.0,0.0,0.0,0.0,0.0,0.0,,780.27,780.27,100.0,2288.22,2288.22,100.0,1891.27,1891.27,100.0,596.25,596.25,100.0,5556.01,5556.01,100.0
Madhya Pradesh,12198.58,12198.58,12344.0,12344.0,24529.43,24529.43,27048.58,27048.58,35000.0,35000.0,7698.9,7698.9,5429.34,5429.34,11458.18,11458.18,12743.85,6964.49,0.0,0.0,19897.48,19897.48,100.0,17773.34,17773.34,100.0,35987.61,35987.61,100.0,39792.43,34013.07,85.47623253970667,35000.0,35000.0,100.0,148450.86,142671.5,96.1068868176311
Maharashtra,15575.38,15575.38,18149.52,18149.52,19214.82,19214.82,9026.85,9026.85,57035.8,56371.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15575.38,15575.38,100.0,18149.52,18149.52,100.0,19214.82,19214.82,100.0,9026.85,9026.85,100.0,57035.8,56371.8,98.83581890672174,119002.37,118338.37,99.44202791927589
Manipur,6235.55,6235.55,2184.19,2184.19,4292.15,4292.15,4137.54,4137.54,3000.0,1647.77,443.33,220.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6678.88,6455.81,96.6600687540426,2184.19,2184.19,100.0,4292.15,4292.15,100.0,4137.54,4137.54,100.0,3000.0,1647.77,54.925666666666665,20292.76,18717.46,92.2371328493512
Meghalaya,0.0,0.0,0.0,0.0,2636.09,2636.09,14619.79,14619.79,8500.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,115.48,106.67,0.0,0.0,0.0,0.0,,0.0,0.0,,2636.09,2636.09,100.0,14735.27,14726.460000000001,99.94021147898884,8500.0,5500.0,64.70588235294117,25871.36,22862.550000000003,88.37011274243025
Mizoram,4415.78,4415.78,3446.82,3446.82,3874.64,3874.64,2590.31,2590.31,2500.0,0.0,702.21,702.21,167.86,167.86,657.47,657.47,0.0,0.0,306.89,0.0,5117.99,5117.99,100.0,3614.6800000000003,3614.6800000000003,100.0,4532.11,4532.11,100.0,2590.31,2590.31,100.0,2806.89,0.0,0.0,18661.98,15855.089999999998,84.95931299894222
Nagaland,3268.73,3268.73,3226.37,3226.37,4435.75,4435.75,3608.43,3608.43,3500.0,0.0,0.0,0.0,60.75,47.03,0.0,0.0,0.0,0.0,0.0,0.0,3268.73,3268.73,100.0,3287.12,3273.4,99.58261335150527,4435.75,4435.75,100.0,3608.43,3608.43,100.0,3500.0,0.0,0.0,18100.03,14586.310000000001,80.58721449632958
Odisha,16640.15,16640.15,19095.97,19095.97,21842.98,21842.98,17133.3,17125.25,13564.1,13564.1,6157.65,6157.65,6944.96,6944.96,5236.75,5236.75,9397.06,5266.47,0.0,0.0,22797.800000000003,22797.800000000003,100.0,26040.93,26040.93,100.0,27079.73,27079.73,100.0,26530.36,22391.72,84.40036245267686,13564.1,13564.1,100.0,116012.92000000001,111874.28000000001,96.43260423063225
Puducherry,0.0,0.0,19.56,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.189999999999998,3.46,16.328456819254367,0.0,0.0,,0.0,0.0,,0.0,0.0,,21.189999999999998,3.46,16.328456819254367
Rajasthan,25950.52,25950.52,25557.03,25557.03,13744.7,13744.7,18810.1,18810.1,22000.0,21920.15,5346.97,5346.97,3126.9,3126.9,6234.34,6234.34,3530.8,3182.27,0.0,0.0,31297.49,31297.49,100.0,28683.93,28683.93,100.0,19979.04,19979.04,100.0,22340.899999999998,21992.37,98.43994646589887,22000.0,21920.15,99.63704545454546,124301.35999999999,123872.97999999998,99.65536982057155
Sikkim,566.8,566.8,553.83,553.83,1036.28,1036.28,925.44,735.93,0.0,0.0,3.57,3.57,9.41,9.41,0.0,0.0,17.84,8.91,0.0,0.0,570.37,570.37,100.0,563.24,563.24,100.0,1036.28,1036.28,100.0,943.2800000000001,744.8399999999999,78.96276821304383,0.0,0.0,,3113.1700000000005,2914.7300000000005,93.62578978982837
Tamil Nadu,5025.19,5025.19,3328.99,3328.99,4849.38,4849.38,2854.28,2854.28,2000.0,2000.0,589.74,589.74,241.0,241.0,546.55,546.55,404.46,404.46,362.34,300.0,5614.929999999999,5614.929999999999,100.0,3569.99,3569.99,100.0,5395.93,5395.93,100.0,3258.7400000000002,3258.7400000000002,100.0,2362.34,2300.0,97.3610911215151,20201.93,20139.59,99.69141562217075
Telangana,19610.6,19610.6,27297.83,27297.83,7503.9,7503.9,23851.18,23851.18,11250.0,11250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,19610.6,19610.6,100.0,27297.83,27297.83,100.0,7503.9,7503.9,100.0,23851.18,23851.18,100.0,11400.0,11250.0,98.68421052631578,89663.51000000001,89513.51000000001,99.8327078652174
Tripura,2355.78,2355.78,4804.98,4804.98,7188.77,7188.77,4522.33,4522.33,4000.0,3993.9,386.18,386.18,252.09,252.09,58.55,58.55,1136.76,1124.1,0.0,0.0,2741.96,2741.96,100.0,5057.07,5057.07,100.0,7247.320000000001,7247.320000000001,100.0,5659.09,5646.43,99.77628912068901,4000.0,3993.9,99.8475,24705.440000000002,24686.68,99.92406530707406
Uttar Pradesh,1822.71,1822.71,2218.67,2218.67,0.0,0.0,0.0,0.0,1000.0,503.54,0.0,0.0,0.0,0.0,88.17,0.0,0.0,0.0,0.0,0.0,1822.71,1822.71,100.0,2218.67,2218.67,100.0,88.17,0.0,0.0,0.0,0.0,,1000.0,503.54,50.354,5129.55,4544.92,88.6027039408915
Uttarakhand,0.0,0.0,0.0,0.0,3568.37,3568.37,0.0,0.0,187.5,187.5,0.0,0.0,138.24,138.24,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,,138.24,138.24,100.0,3568.37,3568.37,100.0,0.0,0.0,,202.5,202.5,100.0,3909.1099999999997,3909.1099999999997,100.0
West Bengal,2411.0,2411.0,2256.42,2256.42,3872.05,3872.05,0.0,0.0,3405.83,0.0,894.18,894.18,788.22,788.22,912.51,912.51,0.0,0.0,2988.85,0.0,3305.18,3305.18,100.0,3044.6400000000003,3044.6400000000003,100.0,4784.56,4784.56,100.0,0.0,0.0,,6394.68,0.0,0.0,17529.06,11134.380000000001,63.51954982183871
